tack range,  பசை ஒட்டுக்கால நெடுக்கம், 
tacky dry,  அரை ஒட்டுநிலை, 
taconian orogeny,  டெகோனியன் மலையாக்கம், டெகோனியன் மலைத்தோற்றம், 
tactical air control center,  போர்த்தந்திர விமானக் கட்டுப்பாட்டுமையம், 
tactical air controller,  போர்த்தந்திர விமானக் கட்டுப்படுத்துபவர்; நுண்திறஞ்சார்  வான் கட்டுப்படுத்தி, 
tactical air control system,  போர்த்தந்திர விமானக் கட்டுப்பாட்டு அமைப்பு, 
tactical aircraft shelter,  போர்த்தந்திர வான்கலக் கொட்டில், 
tactical air direction center,  போர்த்தந்திர விமானக் கட்டுப்பாட்டு இயக்கமையம், 
tactical air force,  போர்த்திறஞ்சார்  வான்படை, போர்த்தந்திர வான்படை, 
tactical airlift,  போர்த்தந்திர வான்கல இயக்கம், 
tactical air navigation system,  போர்த்தந்திர வான்பயண அமைப்பு, 
tactical air observer,  போர்வினைசார்  வான் நோக்கர், போர்த்தந்திர வான்கல கூர்நோக்குபவர், 
tactical air operations,  போர்த்தந்திர வான்கல நடவடிக்கைகள், 
tactical air reconnaissance,  போர்த்தந்திர வான்கல முன்னோட்ட ஆய்வு, 
tactical air support,  போர்வினைசார் வான்படைத் துணை, போர்த்தந்திர வான்கல தரையுதவி, 
tactical air transport,  போர்த்தந்திர வான்கலப் போக்குவரத்து, 
tactical call sign,  போர்த்தந்திர உதவி அழைப்புக்குறி, 
tactical command ship,  போர்த்தந்திரக் கட்டுப்பாட்டுக் கப்பல், 
tactical communications system,  போர்த்தந்திரத் தகவல்தொடர்பு அமைப்பு, 
tactical control radar,  போர்த்தந்திரக் கட்டுப்பாட்டு ரேடார், 
tactical diameter,  போர்த்தந்திர நடவடிக்கை சுற்றுவிட்டம், 
tactical electronic warfare,  போர்த்தந்திர மின்னணுவியல் போர், 
tactical frequency,  போர்த்தந்திர அலைவெண், 
tactical range recorder,  போர்த்தந்திர சோனார் வீச்சுப் பதிப்பி, போர்வினைசார்நெடுக்கப்பதிவான், 
tactical transport aircraft,  போர்த்தந்திரப் போக்குவரத்து வான்கலம், 
tactile sensor,  தொட்டறி உணரி, 
t aerial,  T உணர்கம்பி, 
tafel slope,  டாஃபெல் சரிவு, 
taffeta,  மென்பருத்தித் துணிவகை: மென்பட்டுத் துணிவகை, டபெட்டா , பட்டு  கம்பளித் துணி, பட்டிழை, 
taffrail log,  கப்பல் பின்புற வேகஅளவி, 
tag robinson colorimeter,  டாக் ராபின்சன் வெப்பஅளவி, 
taiga,  தைகா காடு, ஊசியிலைப் புதர்க்காடு, ஊசியிலைக்காடுகள், 
tail center,  வால் மையம், 
tail clipping,  துடிப்புமுறைக் கூர்மையாக்கல், 
tail fin,  வான்கலச் செதிள்/ வால் - துடுப்பு/ கடைத்துடுப்பு, 
tailings,  வாற்பொருள்கள்/ கூலக்கழிபொருள்: மென்றுகள் கழிவு, 
tailings settling tank,  கழிவுப் படிவுத் தொட்டி, 
tail piece,  வால் துண்டு/ வாலுரு, 
tail pulley,  வாற்கப்பி: முனைக் கப்பி, 
tail rope,  ஊர்தி இழுகயிறு/ கடைக்கயிறு, 
tail screw,  வால்திருகி/ வால் திருகு/ வால்-திருகு, 
tail shaft,  வால்தண்டு/ வாலச்சுத்தண்டு, 
tailstock,  வாற்கூடு/ வாலகம், 
tail surface,  வால் மேற்பரப்பாரம்/ வால்முனைப் பரப்பு, 
tail track system,  ஓட்டுத்தட அமைப்பு, 
tail vice,  வால்குறடு, 
tail warning radar,  எச்சரிப்பு வாற்கதுவீ/ வான்கல முனை எச்சரிக்கை ரேடார், 
tailwind,  தொடர்காற்று/ வான்கலம்தொடர் காற்று, 
taino,  பருவகாலப் பெரும்புயல், 
tainter gate,  வட்டத்துண்டு மதகு, 
takeoff,  கழற்று/ வான்கலம் எழும்புதல்: மேற்புறப்பாடு, 
takeoff assist,  வான்கலம் எழுப்பு உதவி, எழுநிலைக்குதவி, 
takeoff weight,  எழுநிலை எடை, உயரும் வான்கல எடை, 
take the ground,  கலம் தரைதட்டல், 
takeup,  இறுக்கமைவு;- இழுப்புறுத்தல்; நகர்தள இழுவிசையாக்கி, 
takeup pulley,  இறுக்கமைவுக் கப்பி; நகர்தள இழுவைக் கப்பி, 
takeup reel,  பதிவுற்ற கண்டு, 
taku wind,  டாகு காற்று, 
talbot,  ஒளிர்வு ஆற்றல் அலகு: மிசிசிப்பிப் பருத்தி, 
talik,  உருகா பனிநிலம், உருகாப் பனிநிலம், 
talking,  பறைவு, பேச்சு, பேசல்// சுரங்கச்சுவர் சுற்றொலி, 
talk listen switch,  பேசு கேட்பு நிலைமாற்றி, 
tall building,  உயர்கட்டடம், 
tall oil,  மரநெய்யம்: மரக்கூழ்ப் பிசின், 
tallow,  விலங்குக் கொழுப்பு: மாட்டுக்கொழுப்பு: மாநிண நெய்யம் விவங்கு நிணநெய்யம்/ விலங்குக்கொழுப்பு/ கெட்டிக் கொழுப்பு/ கொழுப்பு மெழுகு, 
tallow injector,  விலங்குக் கொழுப்பு உட்செலுத்தி; நிணநெய் உட்செலுத்தி, 
talus slope,  உடைகற்குவியல் - சரிவு, உகல் சரிவு, 
tamm dancoff method,  டாம் டான்கோப் முறை, 
tamp,  கெட்டித்தல், துளைகெட்டிப்பு, 
tamping bag,  கெட்டிப்புச் சரளைப்பை, ஈட்டுநிரப்புப்பை, 
tamping bar,  கெட்டிப்புத் தண்டு, 
tamping plug,  துளை அடைப்பு, 
tamping rod,  கெட்டிப்புக் கழி, உரம் போடுங்கோல், 
tampion,  மரத்தாழ், துப்பாக்கி முகப்பு அடைப்பு, 
tanbark,  மரப்பட்டை, பதனிடு பட்டை, 
tandem,  நீண்மிதிவண்டி, தொடரிணை; நீண் மிதிவண்டி/ வரியிணை, தொகுப்புத் தெரிவு, ஊடாட்ட, ஏவுகலத் தொடரிணை அமைப்பு, 
tandem accelerator,  தொடரிணை முடுக்கி, 
tandem central office,  தொடரிணை மைய அலுவலகம், 
tandem drive conveyor,  கப்பியிணை கடத்தமைப்பு, 
tandem hoisting,  தண்டு உயர்த்தல், 
tandem mill,  இணை உருட்டுஆலை, 
tandem propellers,  இணை முற்செலுத்திகள், 
tandem rollers,  இணை உருளைகள், 
tandem switching,  மைய இணை அழைப்புகள், 
tang,  உளிக் காம்பு, உளிக் கைப்பிடி, பல்// செருகுற்ற உளிப்பகுதி/ கருவிக் கைப்பிடி, 
tangent bending,  தொடுவளைவு, 
tangent bundle,  தொடலிக் கற்றை, தொடுகட்டு, 
tangent cone,  தொடலிக் கூம்பு, தொடுகூம்பு, 
tangent galvanometer,  ஆரைமுள் மின்னோட்டங்காட்டி, தொடலி-மின்னோட்டமானி, 
